text,top_class,hate_speech,offensive_language,neither
ceezPP ceezPP ceezPP ceezPP ceezPP ceezPP ceezPP ceezPP ceezPP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Oof no notification but still ceezBanger ceezPogitivity ceezPogitivity,neither,0.03459554566787266,0.36866110916255157,0.5967433451695757
ceeeezzzzzz,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezPogitivity ceezPogitivity ceezPogitivity ceez6 ceez6 ceez6,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Gotta re sub brb,neither,0.05313979155314157,0.3308658538285317,0.6159943546183269
ceezMT ceezMT ceezMT ceezMT ceezMT ceezMT,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"just watched ""Caesar ""CDNthe3rd"" at WCG Grand Finals"" on youtube ceezLUL",neither,0.034748140554799085,0.3648240077187238,0.6004278517264772
ceez boutta bop all bots,neither,0.04069550078539409,0.381197594687217,0.5781069045273889
ceez what did you think about the fight ?!,neither,0.06179149504166255,0.373340395567152,0.5648681093911855
Let’s goo,neither,0.01259774405356427,0.402817721707079,0.5845845342393566
cheer510 let's get it going papi [+],neither,0.023943008453031166,0.39078813058723433,0.5852688609597344
ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
What’s up chat,neither,0.04268701058436685,0.38974047704151576,0.5675725123741174
ceez,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ThatErectedElmo subscribed with Twitch Prime. They've subscribed for 13 months! Keep the positivity up pop,neither,0.020633114359618038,0.3284654317432008,0.6509014538971811
ceezPogitivity ceezPogitivity ceezPogitivity ceez6 ceez6 ceez6,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Watz good papi chuloooooooooooooo,neither,0.03875228192880013,0.33061716883797504,0.6306305492332248
dathwa!!!!!!!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yerrrrrr,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ceeeeeeez,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Rip Anthony Joshua,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
YUP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Play auto chess,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ceeezzzzzz,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
BRUTHERS AND SISTURS!!!,neither,0.03763944115734239,0.1918412352459551,0.7705193235967025
CEEZ CEEZ CEEZ CEEZ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Lets do some sub games ceez,neither,0.03297037983530294,0.35331956949263743,0.6137100506720595
